Functions,Measurable Performance Indicators
"In Charge for Public Transport Routes & Services, and Intelligent Transport System (ITS).",No. of proposed additional or modified public transportation routes
,No. of route and service inspections conducted
,No. of coordination meetings with stakeholders attended
,No. of trainings/seminars attended 
"Takes charge of the QGIS and Google Earth Pro mapping of the existing Motorized Tricycle for Hire and Motorized Taxi (Habal Habal) routes as well as its proposed amendments, and of the various transport data gathered by the Office.",Percentage of existing MTH and Motorized Taxi (Habal-Habal) routes digitally mapped using QGIS and Google Earth Pro
"Assists the TMS Head in any matter related to ITS, including but not limited to public routes overlaying and conflicting routes identification with the upcoming Davao City Bus project.",No. of ITS-related technical analyses and support outputs provided to the TMS Head
Responds to all Davao City Reports / 8888 Reports pertaining to Traffic Signalization.,No. of communication/letter reply prepared and
"Leads/supervises the in-house Traffic Signal Maintenance team who conducts ocular inspection, monitoring, preventive and corrective repairs, and phasing & timing calibration of all upcoming and existing signalized intersection.",No. of inspections conducted
,No. of monitoring reports prepared
,No. of preventive and corrective repairs done
,No. of phasing and timing calibration made
"Receives, assesses, and evaluates applications for Truck Ban Exemptions - Receiving, Assessment and Evaluation of the submitted requirements from the requesting party and printing of Order of Payment and Draft Permit",No. of  supporting documents reviewed/evaluated from clients of Truck Ban exemptions
,No. of Order of Payment prepared for approval and signature
,No. of draft permits prepared for approval and signature
Assists the HRMIS account,"No. of HRMIS accounts managed
"
Assists the PUV l.D. applications,No. of PUV ID issued
CTTMB Meeting:,
"Acts as secretariat (managing attendance, preparing collaterals, and coordinating for food and logistics)",No. of CTTMB Meetings facilitated
 - Reservation of venue,
 - Routing of meeting invitation ,
Prepares meeting materials,No. of documents prepared for the meeting
Handles the liquidation of catering services,No. of documents secured for liquidation
CTTMB-TWG Inspections:,
Act as secretariat (coordination with TWG members),No. of inspections conducted
"Documentation of inspection (pictures, attendance, inspection report)",No. of inspection reports prepared
 - Reservation of vehicle,
 - Ocular Inspection,
 - Liquidation of receipt,
Releases communications and documents,No. or documents delivered
Serves as Driver for CTTMB-TWG inspections,No. of authorized trips
,No. of reports on fuel consumption
Coordinates and verifies the signing of the CTTMB resolutions by Board members.,No. of resolutions coordinated and verified
Responsible for recording Incoming and Outgoing routes,No. of communications/documents received
Endorses TPMD documents to ASD for routing and signature,No. of communications/documents released
Ensures proper keeping and maintenance of records,No. of Citizen's Feedback form duly filled in by clients
"Assists in inspections related to Sections 175, 176, 177, and 57 of the City's Traffic Code, including documentation and photos.",No. of ocular inspections conducted
Scans HRMIS log sheet,No. of HRMIS logsheet scanned
Assists the Division Head in sorting incoming documents by attaching routing slips and recording the same,No. of incoming communications sorted for routing of the division head
Keeps and manages official files and documents in designated document filers,No. of document filers maintained
Assists in the conduct of the Privacy Impact Assessment (PIA) of 6 TPMD enrolled processes to ensure compliance with data privacy requirements,No. of PIA compliance prepared and submitted for approval
Assists in Quality Managent System (QMS) Compliance,No. of documents compiled for QMS compliance
Schedules meetings of TPMD personnel,No. of meetings scheduled
,No. of meetings facilitated
Assits in the consolidation and submission of CTTMO Training Calendar,No. of training calendars consolidated for approval and submission to HRMO
Drafts Quarterly Training Report for approval and signature of LDPC and CTTMO Dept. Head.,No. of Quarterly Training Report for approval and signature of LDPC and CTTMO Dept. Head.
Prepares endorsement to HRMO re:  Quarterly Training Report,No. of endorsements prepared
"Consolidates data and organizes in database, dashboard, and data visualizations",No. of data collected and managed
"Assists in inspections related to section 175,176,177 and section 57. (Documentation of inspection and photograph.)",No. of ocular inspections conducted
